des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
363599,110,2460411.900223373,2024-Apr-11 09:36,0.0520956672991205,0.0520956098224605,0.0520957247758605,24.7446696785754,24.7426026464308,< 00:01,21.04
2024 GZ,2,2460411.946510605,2024-Apr-11 10:43,0.0520491463297016,0.0516772795219594,0.0524209978982469,5.5579258470659,5.5487076433649,00:13,26.46
2024 GJ2,11,2460412.270746550,2024-Apr-11 18:30,0.00012482586540492,0.000124821889513601,0.000124829841298695,14.3792046148307,12.8089962100159,< 00:01,30.37
2024 GU3,7,2460412.336343764,2024-Apr-11 20:04,0.0246877652401989,0.024653168749149,0.0247223621230142,7.68166755375053,7.667604721912,< 00:01,25.78
2024 GC6,3,2460412.359991621,2024-Apr-11 20:38,0.0242503311983983,0.0241721699549481,0.0243284917324744,12.5919695116841,12.5832407714062,< 00:01,25.77
2024 HV,2,2460412.409586657,2024-Apr-11 21:50,0.0502095250702697,0.0490779339753443,0.051341097274826,16.936991728489,16.9338582252777,00:03,24.56
2024 HN2,3,2460412.532309528,2024-Apr-12 00:47,0.0477502731840428,0.0468367592551978,0.0486637094613284,7.20809816775181,7.20035267230757,00:24,24.88
2024 GA2,4,2460412.646890284,2024-Apr-12 03:32,0.0367762177132922,0.0365610455121578,0.0369913880245332,13.901965172283,13.8967526187756,< 00:01,25.37
2021 RJ19,3,2460412.792627640,2024-Apr-12 07:01,0.0502607121771366,0.0233436434584916,0.194631920672281,11.4350721404383,11.4304351855295,9_16:07,25.79
2024 FX3,4,2460413.391307250,2024-Apr-12 21:23,0.0244129357824398,0.0243229838390159,0.0245028866750181,11.726653062122,11.7173421823425,< 00:01,25.50
2021 GQ5,4,2460413.666491168,2024-Apr-13 04:00,0.0225517544316656,0.0187909946807299,0.0263132584817575,7.46002591065345,7.44417137861555,05:25,28.51
2024 GT2,3,2460413.759194295,2024-Apr-13 06:13,0.00586048347377889,0.00585169524898245,0.00586927118839219,6.77879312944542,6.71138828405565,< 00:01,27.43
